query_index,top1_index,query_image,query_articleType,query_subCategory,query_gender,query_masterCategory,top1_image,top1_articleType,top1_subCategory,top1_gender,top1_masterCategory,similarity_score,error_type
10701,36464,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/57072.jpg,Jeans,Bottomwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/51598.jpg,Jeggings,Bottomwear,Women,Apparel,0.9528329372406006,wrong_articleType
11533,24370,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/7692.jpg,Tshirts,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/7704.jpg,Tops,Topwear,Women,Apparel,0.9103350043296814,wrong_articleType
11919,30804,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/49993.jpg,Lounge Shorts,Loungewear and Nightwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/42105.jpg,Shorts,Bottomwear,Men,Apparel,0.9306782484054565,wrong_articleType
12481,23324,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/4624.jpg,Tops,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/5835.jpg,Tshirts,Topwear,Women,Apparel,0.8793818950653076,wrong_articleType
13192,24273,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/22262.jpg,Heels,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/45404.jpg,Flats,Shoes,Women,Footwear,0.9214053153991699,wrong_articleType
13606,6119,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/24502.jpg,Belts,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/24510.jpg,Kurtas,Topwear,Women,Apparel,0.9752088785171509,wrong_articleType
13850,7839,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/28969.jpg,Kurta Sets,Apparel Set,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/58663.jpg,Kurtas,Topwear,Women,Apparel,0.915608823299408,wrong_articleType
14744,8932,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/53402.jpg,Kurtas,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/53824.jpg,Tunics,Topwear,Women,Apparel,0.9279063940048218,wrong_articleType
16487,37147,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/13972.jpg,Casual Shoes,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/6149.jpg,Sports Shoes,Shoes,Unisex,Footwear,0.9227504730224609,wrong_articleType
17495,2226,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/41829.jpg,Flats,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/47563.jpg,Heels,Shoes,Women,Footwear,0.9254391193389893,wrong_articleType
18926,39233,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/34827.jpg,Sports Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23856.jpg,Casual Shoes,Shoes,Men,Footwear,0.909993052482605,wrong_articleType
19088,21023,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/31797.jpg,Tshirts,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/25365.jpg,Innerwear Vests,Innerwear,Men,Apparel,0.8886074423789978,wrong_articleType
19519,25007,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/17838.jpg,Casual Shoes,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/9403.jpg,Sports Shoes,Shoes,Women,Footwear,0.9467912912368774,wrong_articleType
19630,17840,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/30084.jpg,Free Gifts,Free Gifts,Men,Free Items,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/30071.jpg,Watches,Watches,Men,Accessories,0.7353814840316772,wrong_articleType
20044,25824,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/50739.jpg,Formal Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/26560.jpg,Casual Shoes,Shoes,Men,Footwear,0.9567035436630249,wrong_articleType
20201,15377,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/20015.jpg,Tshirts,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/19684.jpg,Tops,Topwear,Women,Apparel,0.8790856599807739,wrong_articleType
20395,23151,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/19163.jpg,Tshirts,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/19528.jpg,Sweaters,Topwear,Men,Apparel,0.8501044511795044,wrong_articleType
20581,28297,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/55617.jpg,Casual Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/17762.jpg,Formal Shoes,Shoes,Men,Footwear,0.9698576331138611,wrong_articleType
21757,34488,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/1622.jpg,Jackets,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/59105.jpg,Rain Jacket,Topwear,Men,Apparel,0.8497763872146606,wrong_articleType
21972,12862,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/51810.jpg,Nightdress,Loungewear and Nightwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/59993.jpg,Dresses,Dress,Women,Apparel,0.9154999256134033,wrong_articleType
22367,13831,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23810.jpg,Casual Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/21810.jpg,Wallets,Wallets,Men,Accessories,1.0000004768371582,wrong_articleType
24002,20159,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/2624.jpg,Heels,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/34071.jpg,Flats,Shoes,Women,Footwear,0.9188306331634521,wrong_articleType
24436,35349,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/52447.jpg,Nightdress,Loungewear and Nightwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/52517.jpg,Baby Dolls,Loungewear and Nightwear,Women,Apparel,0.9396724700927734,wrong_articleType
26245,14893,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/52228.jpg,Pendant,Jewellery,Women,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/52178.jpg,Ring,Jewellery,Women,Accessories,0.7879135608673096,wrong_articleType
28947,11193,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/2967.jpg,Sports Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/26691.jpg,Casual Shoes,Shoes,Men,Footwear,0.9181327819824219,wrong_articleType
29071,35040,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/58439.jpg,Dresses,Dress,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/28708.jpg,Kurtas,Topwear,Women,Apparel,0.8897051811218262,wrong_articleType
29427,38883,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/47610.jpg,Heels,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/47528.jpg,Flats,Shoes,Women,Footwear,0.9208894968032837,wrong_articleType
29799,13453,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/20182.jpg,Shirts,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/20156.jpg,Tshirts,Topwear,Men,Apparel,0.9264822006225586,wrong_articleType
31647,24611,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/32288.jpg,Watches,Watches,Men,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/53592.jpg,Free Gifts,Free Gifts,Men,Free Items,0.8738217353820801,wrong_articleType
32046,22588,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/52568.jpg,Clutches,Bags,Women,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/16763.jpg,Handbags,Bags,Women,Accessories,0.9237739443778992,wrong_articleType
32512,36077,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/44404.jpg,Sports Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/22851.jpg,Casual Shoes,Shoes,Men,Footwear,0.9264622926712036,wrong_articleType
32882,9067,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/4602.jpg,Backpacks,Bags,Unisex,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/4601.jpg,Rucksacks,Bags,Unisex,Accessories,0.9151055812835693,wrong_articleType
33057,32323,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23143.jpg,Sweatshirts,Topwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23150.jpg,Jackets,Topwear,Women,Apparel,0.9352626800537109,wrong_articleType
33143,9482,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23527.jpg,Deodorant,Fragrance,Men,Personal Care,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/44063.jpg,Fragrance Gift Set,Fragrance,Men,Personal Care,0.8310849666595459,wrong_articleType
33519,35684,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/27346.jpg,Deodorant,Fragrance,Women,Personal Care,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/26001.jpg,Perfume and Body Mist,Fragrance,Women,Personal Care,0.6996232271194458,wrong_articleType
33718,32208,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/38533.jpg,Casual Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/12889.jpg,Sports Shoes,Shoes,Men,Footwear,0.9219768047332764,wrong_articleType
33732,9081,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/18550.jpg,Casual Shoes,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/18549.jpg,Flats,Shoes,Women,Footwear,0.9110183715820312,wrong_articleType
34561,74,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/19245.jpg,Jackets,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23876.jpg,Sweatshirts,Topwear,Men,Apparel,0.8904398679733276,wrong_articleType
34798,1876,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/16804.jpg,Dresses,Dress,Girls,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/10656.jpg,Tops,Topwear,Women,Apparel,0.8774722814559937,wrong_articleType
35412,21750,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/15016.jpg,Sweatshirts,Topwear,Men,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/13094.jpg,Sweaters,Topwear,Men,Apparel,0.8954243659973145,wrong_articleType
35417,37534,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/32634.jpg,Track Pants,Bottomwear,Women,Apparel,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/32632.jpg,Capris,Bottomwear,Women,Apparel,0.9590926766395569,wrong_articleType
36246,36151,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/56120.jpg,Lip Gloss,Lips,Women,Personal Care,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/56118.jpg,Lipstick,Lips,Women,Personal Care,0.826729416847229,wrong_articleType
37406,35802,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/20767.jpg,Flats,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/20766.jpg,Heels,Shoes,Women,Footwear,0.9011647701263428,wrong_articleType
39313,42540,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/2631.jpg,Flats,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/10615.jpg,Casual Shoes,Shoes,Women,Footwear,0.9223020076751709,wrong_articleType
39396,10745,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/23097.jpg,Flip Flops,Flip Flops,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/56968.jpg,Heels,Shoes,Women,Footwear,0.857206404209137,wrong_articleType
41085,1320,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/25934.jpg,Scarves,Scarves,Women,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/14635.jpg,Mufflers,Mufflers,Men,Accessories,0.959419846534729,wrong_articleType
41170,42962,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/55086.jpg,Eye Cream,Skin Care,Women,Personal Care,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/55087.jpg,Face Wash and Cleanser,Skin Care,Women,Personal Care,0.864392101764679,wrong_articleType
42267,2991,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/12348.jpg,Handbags,Bags,Men,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/12361.jpg,Shirts,Topwear,Men,Apparel,0.9148913025856018,wrong_articleType
42333,22889,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/39505.jpg,Duffel Bag,Bags,Unisex,Accessories,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/29188.jpg,Laptop Bag,Bags,Men,Accessories,0.931201696395874,wrong_articleType
42730,42721,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/11932.jpg,Flats,Shoes,Women,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/19363.jpg,Sandals,Sandal,Men,Footwear,0.9256055355072021,wrong_articleType
42799,29722,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/18413.jpg,Sports Shoes,Shoes,Men,Footwear,/.cache/kagglehub/datasets/paramaggarwal/fashion-product-images-dataset/versions/1/fashion-dataset/images/22874.jpg,Casual Shoes,Shoes,Men,Footwear,0.8891521692276001,wrong_articleType
